Date,Year,SolarDay,Period,State ,Site,Exclosure/Control,Rep,Order,Total Number,Size Class <5mm,Size Class >5mm,BigFrac,Notes,EXCLUDE
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Hymenoptera,1,1,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Hymenoptera,4,4,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Isopoda,3,3,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Orthoptera,5,5,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Orthoptera,8,8,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Snail,66,56,10,0.151515152,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Snail,3,3,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Snail,53,28,25,0.471698113,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Spider,3,3,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Spider,5,5,0,0,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,Spider,43,40,3,0.069767442,,no
6/10/2014,2014,171,1,CT,Barn Island,Control,3,unknown,1,0,1,1,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,1,Amphipoda,53,40,13,0.245283019,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,1,Coleoptera,2,2,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,1,Hemiptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,1,Hymenoptera,2,2,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,1,Spider,19,19,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,2,Amphipoda,55,51,4,0.072727273,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,2,coleoptera,7,7,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,2,Hymenoptera,3,3,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,2,Snail,11,2,9,0.818181818,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,2,Spider,9,9,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,3,Amphipoda,56,50,6,0.107142857,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,3,coleoptera,3,3,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,3,Diptera,3,3,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Control,3,Spider,16,16,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,1,Amphipoda,43,42,1,0.023255814,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,1,Coleoptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,1,Hymenoptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,1,Orthoptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,1,Spider,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,2,Amphipoda,30,29,1,0.033333333,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,2,Diptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,2,Orthoptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,2,Snail,2,0,2,1,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,2,Spider,4,4,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Amphipoda,10,9,1,0.1,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Coleoptera,1,1,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Diptera,2,2,0,0,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Hemiptera,7,6,1,0.142857143,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Snail,2,0,2,1,,no
6/30/2014,2014,191,2,CT,Barn Island,Exclosure,3,Spider,13,13,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Amphipoda,142,119,23,0.161971831,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Coleoptera,21,13,8,0.380952381,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Diptera,3,2,1,0.333333333,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Hemiptera,48,48,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Hymenoptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Snail,5,1,4,0.8,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Spider,24,24,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,1,Unknown Larvae,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Amphipoda,226,206,20,0.088495575,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Coleoptera,4,4,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Diptera,7,4,3,0.428571429,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Hemiptera,47,47,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Hymenoptera,3,3,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Snail,2,0,2,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Control,3,Spider,37,37,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Amphipoda,121,11,10,0.082644628,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Amphipoda,121,111,10,0.082644628,,yes-zachfounderror
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Coleoptera,2,2,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Coleoptera,2,2,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Diptera,7,7,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Diptera,7,7,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Hemiptera,13,13,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Hemiptera,13,13,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Hymenoptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Hymenoptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Isopoda,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Isopoda,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Orthoptera,1,0,1,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Orthoptera,1,0,1,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Snail,5,2,3,0.6,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Snail,5,2,3,0.6,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Spider,16,16,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,1,Spider,16,16,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Amphipoda,50,21,29,0.58,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Coleoptera,3,2,1,0.333333333,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Diptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Hemiptera,10,7,3,0.3,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Hymenoptera,2,0,2,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Isopoda,7,5,2,0.285714286,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Orthoptera,4,0,4,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Snail,4,0,4,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Spider,13,11,2,0.153846154,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,2,Ticks and Mites,4,4,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Amphipoda,93,30,63,0.677419355,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Coleoptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Diptera,2,0,2,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Hemiptera,10,9,1,0.1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Hymenoptera,1,1,0,0,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Isopoda,1,0,1,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Orthoptera,1,0,1,1,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Snail,8,2,6,0.75,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Spider,26,20,6,0.230769231,,no
8/4/2014,2014,226,3,CT,Barn Island,Exclosure,3,Thysanoptera,2,2,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Amphipoda,250,192,58,0.232,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,coleoptera,12,8,4,0.333333333,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Diptera,14,10,4,0.285714286,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Hemiptera,15,15,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,hymenoptera,2,2,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Isopoda,8,8,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Snail,26,0,26,1,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,1,Spider,41,41,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Amphipoda,110,106,4,0.036363636,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Coleoptera,18,13,5,0.277777778,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Diptera,15,15,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Hemiptera,5,5,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Hymenoptera,4,4,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Snail,35,0,35,1,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,2,Spider,30,30,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Amphipoda,119,80,39,0.327731092,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Coleoptera,3,2,1,0.333333333,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Diptera,5,5,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Hemiptera,10,10,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Hymenoptera,4,4,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Snail,68,1,67,0.985294118,,no
8/26/2014,2014,248,4,CT,Barn Island,Control,3,Spider,26,24,2,0.076923077,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Amphipoda,28,13,15,0.535714286,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Coleoptera,1,1,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Hymenoptera,1,1,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Isopoda,6,6,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Orthoptera,1,0,1,1,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Snail,11,1,10,0.909090909,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,2,Spider,9,8,1,0.111111111,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Amphipoda,61,25,36,0.590163934,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Coleoptera,12,12,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Diptera,8,8,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Hemiptera,8,8,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Hymenoptera,4,4,0,0,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Isopoda,29,28,1,0.034482759,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Snail,3,0,3,1,,no
8/26/2014,2014,248,4,CT,Barn Island,Exclosure,3,Spider,9,8,1,0.111111111,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Amphipoda,55,26,29,0.527272727,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Amphipoda,70,55,15,0.214285714,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Coleoptera,5,3,2,0.4,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Diptera,21,20,1,0.047619048,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Diptera,10,8,2,0.2,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Hemiptera,16,16,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Hemiptera,12,12,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Isopoda,30,20,10,0.333333333,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Snail,4,0,4,1,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Snail,66,0,66,1,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Spider,1,0,1,1,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,1,Spider,11,9,2,0.181818182,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Amphipoda,67,34,33,0.492537313,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Amphipoda,59,35,24,0.406779661,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,coleoptera,11,5,6,0.545454545,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,coleoptera,2,2,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Diptera,27,27,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Diptera,12,12,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Hemiptera,52,52,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Hemiptera,12,12,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Hymenoptera,1,1,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Isopoda,4,4,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Isopoda,32,27,5,0.15625,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Orthoptera,1,1,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Snail,62,1,61,0.983870968,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Snail,108,2,106,0.981481481,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Spider,12,12,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,2,Spider,2,2,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Amphipoda,104,71,33,0.317307692,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Amphipoda,45,21,24,0.533333333,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,coleoptera,17,14,3,0.176470588,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,coleoptera,6,6,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Diptera,11,11,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Diptera,26,26,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Hemiptera,38,38,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Hemiptera,15,15,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Hymenoptera,1,1,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Hymenoptera,1,1,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Isopoda,6,3,3,0.5,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Isopoda,30,21,9,0.3,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Orthoptera,1,1,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Orthoptera,2,2,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Snail,89,1,88,0.988764045,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Snail,77,3,74,0.961038961,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Spider,11,10,1,0.090909091,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,Spider,3,3,0,0,,no
6/4/2015,2015,165,1,CT,Barn Island,Control,3,unknown,1,0,1,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Amphipoda,211,186,25,0.118483412,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,coleoptera,16,16,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Diptera,32,31,1,0.03125,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Hemiptera,34,33,1,0.029411765,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Hymenoptera,4,1,3,0.75,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Isopoda,2,2,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Snail,63,1,62,0.984126984,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,Spider,25,25,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,1,unknown,1,0,1,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Amphipoda,229,202,27,0.11790393,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Diptera,71,71,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Hemiptera,78,77,1,0.012820513,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Hymenoptera,7,7,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Isopoda,3,1,2,0.666666667,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Orthoptera,3,2,1,0.333333333,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Snail,46,0,46,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,2,Spider,71,69,2,0.028169014,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Coleoptera,5,5,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Diptera,30,30,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Hemiptera,39,39,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Hymenoptera,1,1,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Isopoda,8,5,3,0.375,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Orthoptera,3,3,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Snail,57,0,57,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,Spider,47,43,4,0.085106383,,no
6/29/2015,2015,190,2,CT,Barn Island,Control,3,unknown,2,0,2,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Amphipoda,156,145,11,0.070512821,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Coleoptera,2,2,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Diptera,20,19,1,0.05,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Hemiptera,18,17,1,0.055555556,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Isopoda,26,17,9,0.346153846,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Orthoptera,1,0,1,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Snail,1,0,1,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,Spider,30,30,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,1,unknown,2,0,2,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Amphipoda,207,198,9,0.043478261,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,coleoptera,2,2,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Diptera,19,18,1,0.052631579,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Hemiptera,28,25,3,0.107142857,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Isopoda,8,7,1,0.125,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Snail,22,0,22,1,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,2,Spider,46,45,1,0.02173913,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Amphipoda,309,269,40,0.129449838,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,coleoptera,10,7,3,0.3,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Diptera,75,72,3,0.04,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Hemiptera,98,95,3,0.030612245,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Hymenoptera,18,18,0,0,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Isopoda,7,5,2,0.285714286,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Snail,43,1,42,0.976744186,,no
6/29/2015,2015,190,2,CT,Barn Island,Exclosure,3,Spider,67,65,2,0.029850746,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Amphipoda,349,301,48,0.137535817,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Coleoptera,16,16,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Diptera,8,6,2,0.25,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Hemiptera,146,146,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Snail,81,0,81,1,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,1,Spider,41,41,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Amphipoda,275,228,47,0.170909091,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,coleoptera,21,21,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Diptera,5,5,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Hemiptera,62,60,2,0.032258065,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Isopoda,4,4,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Orthoptera,1,0,1,1,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Snail,47,0,47,1,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,2,Spider,35,32,3,0.085714286,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Amphipoda,226,192,34,0.150442478,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Amphipoda,181,172,9,0.049723757,,yes-zachduplicate?
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Coleoptera,4,4,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Diptera,1,1,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Hemiptera,39,37,2,0.051282051,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Isopoda,7,7,0,0,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Orthoptera,2,0,2,1,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Snail,12,0,12,1,,no
7/28/2015,2015,219,3,CT,Barn Island,Control,3,Spider,35,34,1,0.028571429,,no
7/28/2015,2015,219,3,CT,Barn Island,Exclosure,1,Amphipoda,234,205,29,0.123931624,,no
