ID,State,Site,Treatment,Ex.Cont.Number,Date,Year,SolarDay,Period,Taxa,Abundance
313,CT,Hammo,Control,3,6/11/2014,2014,172,1,Orthoptera,0
334,CT,Hammo,Control,1,6/11/2014,2014,172,1,Orthoptera,0
335,CT,Hammo,Control,2,6/11/2014,2014,172,1,Orthoptera,0
339,CT,Hammo,Control,1,6/11/2014,2014,172,1,Orthoptera,0
340,CT,Hammo,Control,2,6/11/2014,2014,172,1,Orthoptera,0
349,RI,Sachuest,Control,1,6/11/2014,2014,172,1,Orthoptera,0
350,RI,Sachuest,Control,2,6/11/2014,2014,172,1,Orthoptera,0
353,RI,Sachuest,Control,1,6/11/2014,2014,172,1,Orthoptera,0
354,RI,Sachuest,Control,2,6/11/2014,2014,172,1,Orthoptera,2
316,NJ,Forsythe,Control,3,6/12/2014,2014,173,1,Orthoptera,0
317,NJ,Forsythe,Control,3,6/12/2014,2014,173,1,Orthoptera,1
328,NJ,Forsythe,Control,1,6/12/2014,2014,173,1,Orthoptera,1
333,NJ,Forsythe,Control,1,6/12/2014,2014,173,1,Orthoptera,0
357,NJ,Forsythe,Control,2,6/12/2014,2014,173,1,Orthoptera,10
358,NJ,Forsythe,Control,2,6/12/2014,2014,173,1,Orthoptera,0
1,ME,Asparagus,Control,1,6/27/2014,2014,188,2,Orthoptera,0
2,ME,Asparagus,Control,2,6/27/2014,2014,188,2,Orthoptera,0
13,ME,Asparagus,Exclosure,2,6/27/2014,2014,188,2,Orthoptera,0
35,ME,Bunny,Control,1,6/27/2014,2014,188,2,Orthoptera,0
36,ME,Bunny,Control,2,6/27/2014,2014,188,2,Orthoptera,0
47,ME,Bunny,Exclosure,1,6/27/2014,2014,188,2,Orthoptera,0
48,ME,Bunny,Exclosure,2,6/27/2014,2014,188,2,Orthoptera,1
58,ME,Bunny,Exclosure,3,6/27/2014,2014,188,2,Orthoptera,0
61,ME,Asparagus,Exclosure,3,6/27/2014,2014,188,2,Orthoptera,0
63,ME,Asparagus,Control,3,6/27/2014,2014,188,2,Orthoptera,0
66,ME,Bunny,Control,3,6/27/2014,2014,188,2,Orthoptera,0
282,ME,Asparagus,Exclosure,1,6/27/2014,2014,188,2,Orthoptera,0
62,NH,Chapman,Control,2,6/28/2014,2014,189,2,Orthoptera,0
69,NH,Chapman,Control,3,6/28/2014,2014,189,2,Orthoptera,0
74,ME,Rachel Carson,Control,3,6/28/2014,2014,189,2,Orthoptera,0
77,NH,Chapman,Exclosure,3,6/28/2014,2014,189,2,Orthoptera,0
78,NH,Chapman,Exclosure,2,6/28/2014,2014,189,2,Orthoptera,0
82,ME,Rachel Carson,Exclosure,3,6/28/2014,2014,189,2,Orthoptera,0
150,ME,Rachel Carson,Control,2,6/28/2014,2014,189,2,Orthoptera,1
159,ME,Rachel Carson,Control,1,6/28/2014,2014,189,2,Orthoptera,1
164,ME,Rachel Carson,Exclosure,1,6/28/2014,2014,189,2,Orthoptera,0
165,ME,Rachel Carson,Exclosure,2,6/28/2014,2014,189,2,Orthoptera,0
284,NH,Chapman,Control,1,6/28/2014,2014,189,2,Orthoptera,0
285,NH,Chapman,Exclosure,1,6/28/2014,2014,189,2,Orthoptera,0
29,CT,Barn Island,Exclosure,1,6/30/2014,2014,191,2,Orthoptera,1
86,CT,Barn Island,Exclosure,3,6/30/2014,2014,191,2,Orthoptera,0
89,RI,Sachuest,Exclosure,3,6/30/2014,2014,191,2,Orthoptera,0
90,RI,Sachuest,Control,3,6/30/2014,2014,191,2,Orthoptera,0
94,CT,Barn Island,Control,3,6/30/2014,2014,191,2,Orthoptera,0
180,RI,Sachuest,Control,1,6/30/2014,2014,191,2,Orthoptera,0
181,RI,Sachuest,Control,2,6/30/2014,2014,191,2,Orthoptera,0
194,RI,Sachuest,Exclosure,1,6/30/2014,2014,191,2,Orthoptera,0
195,RI,Sachuest,Exclosure,2,6/30/2014,2014,191,2,Orthoptera,0
262,CT,Barn Island,Control,2,6/30/2014,2014,191,2,Orthoptera,0
264,CT,Barn Island,Control,1,6/30/2014,2014,191,2,Orthoptera,0
382,CT,Barn Island,Control,2,6/30/2014,2014,191,2,Orthoptera,1
91,NJ,Forsythe,Control,1,7/1/2014,2014,192,2,Orthoptera,0
96,NJ,Forsythe,Exclosure,3,7/1/2014,2014,192,2,Orthoptera,0
104,CT,Hammo,Exclosure,3,7/1/2014,2014,192,2,Orthoptera,0
105,NJ,Forsythe,Exclosure,2,7/1/2014,2014,192,2,Orthoptera,0
106,CT,Hammo,Control,3,7/1/2014,2014,192,2,Orthoptera,0
108,NJ,Forsythe,Control,3,7/1/2014,2014,192,2,Orthoptera,0
117,CT,Hammo,Control,1,7/1/2014,2014,192,2,Orthoptera,0
118,CT,Hammo,Control,2,7/1/2014,2014,192,2,Orthoptera,0
132,CT,Hammo,Exclosure,1,7/1/2014,2014,192,2,Orthoptera,0
133,CT,Hammo,Exclosure,2,7/1/2014,2014,192,2,Orthoptera,0
278,NJ,Forsythe,Control,2,7/1/2014,2014,192,2,Orthoptera,0
279,NJ,Forsythe,Exclosure,1,7/1/2014,2014,192,2,Orthoptera,0
3,ME,Asparagus,Control,1,7/30/2014,2014,221,3,Orthoptera,1
4,ME,Asparagus,Control,2,7/30/2014,2014,221,3,Orthoptera,3
14,ME,Asparagus,Exclosure,1,7/30/2014,2014,221,3,Orthoptera,5
15,ME,Asparagus,Exclosure,2,7/30/2014,2014,221,3,Orthoptera,1
37,ME,Bunny,Control,1,7/30/2014,2014,221,3,Orthoptera,0
38,ME,Bunny,Control,2,7/30/2014,2014,221,3,Orthoptera,4
49,ME,Bunny,Exclosure,1,7/30/2014,2014,221,3,Orthoptera,0
50,ME,Bunny,Exclosure,2,7/30/2014,2014,221,3,Orthoptera,0
110,ME,Bunny,Exclosure,3,7/30/2014,2014,221,3,Orthoptera,1
115,ME,Asparagus,Exclosure,3,7/30/2014,2014,221,3,Orthoptera,0
121,ME,Asparagus,Control,3,7/30/2014,2014,221,3,Orthoptera,1
124,ME,Bunny,Control,3,7/30/2014,2014,221,3,Orthoptera,0
64,NH,Chapman,Control,1,7/31/2014,2014,222,3,Orthoptera,6
65,NH,Chapman,Control,2,7/31/2014,2014,222,3,Orthoptera,8
79,NH,Chapman,Exclosure,1,7/31/2014,2014,222,3,Orthoptera,4
80,NH,Chapman,Exclosure,2,7/31/2014,2014,222,3,Orthoptera,0
125,NH,Chapman,Control,3,7/31/2014,2014,222,3,Orthoptera,1
130,ME,Rachel Carson,Control,3,7/31/2014,2014,222,3,Orthoptera,2
131,NH,Chapman,Exclosure,3,7/31/2014,2014,222,3,Orthoptera,2
134,ME,Rachel Carson,Exclosure,3,7/31/2014,2014,222,3,Orthoptera,3
152,ME,Rachel Carson,Control,2,7/31/2014,2014,222,3,Orthoptera,0
157,ME,Rachel Carson,Control,1,7/31/2014,2014,222,3,Orthoptera,2
166,ME,Rachel Carson,Exclosure,1,7/31/2014,2014,222,3,Orthoptera,0
167,ME,Rachel Carson,Exclosure,2,7/31/2014,2014,222,3,Orthoptera,0
24,CT,Barn Island,Control,1,8/4/2014,2014,226,3,Orthoptera,0
30,CT,Barn Island,Exclosure,1,8/4/2014,2014,226,3,Orthoptera,1
31,CT,Barn Island,Exclosure,2,8/4/2014,2014,226,3,Orthoptera,4
135,CT,Barn Island,Control,3,8/4/2014,2014,226,3,Orthoptera,0
140,CT,Barn Island,Exclosure,3,8/4/2014,2014,226,3,Orthoptera,1
141,RI,Sachuest,Control,3,8/4/2014,2014,226,3,Orthoptera,1
147,RI,Sachuest,Exclosure,3,8/4/2014,2014,226,3,Orthoptera,0
182,RI,Sachuest,Control,2,8/4/2014,2014,226,3,Orthoptera,0
184,RI,Sachuest,Control,1,8/4/2014,2014,226,3,Orthoptera,0
197,RI,Sachuest,Exclosure,1,8/4/2014,2014,226,3,Orthoptera,0
198,RI,Sachuest,Exclosure,2,8/4/2014,2014,226,3,Orthoptera,0
92,NJ,Forsythe,Control,1,8/5/2014,2014,227,3,Orthoptera,0
93,NJ,Forsythe,Control,2,8/5/2014,2014,227,3,Orthoptera,3
107,NJ,Forsythe,Exclosure,2,8/5/2014,2014,227,3,Orthoptera,0
119,CT,Hammo,Control,1,8/5/2014,2014,227,3,Orthoptera,2
120,CT,Hammo,Control,2,8/5/2014,2014,227,3,Orthoptera,0
122,CT,Hammo,Control,3,8/5/2014,2014,227,3,Orthoptera,0
123,CT,Hammo,Exclosure,1,8/5/2014,2014,227,3,Orthoptera,1
128,CT,Hammo,Exclosure,2,8/5/2014,2014,227,3,Orthoptera,0
129,CT,Hammo,Exclosure,3,8/5/2014,2014,227,3,Orthoptera,0
153,NJ,Forsythe,Control,3,8/5/2014,2014,227,3,Orthoptera,2
155,NJ,Forsythe,Exclosure,3,8/5/2014,2014,227,3,Orthoptera,0
271,NJ,Forsythe,Exclosure,1,8/5/2014,2014,227,3,Orthoptera,2
5,ME,Asparagus,Control,1,8/19/2014,2014,241,4,Orthoptera,0
6,ME,Asparagus,Control,2,8/19/2014,2014,241,4,Orthoptera,1
16,ME,Asparagus,Exclosure,1,8/19/2014,2014,241,4,Orthoptera,4
17,ME,Asparagus,Exclosure,2,8/19/2014,2014,241,4,Orthoptera,1
39,ME,Bunny,Control,1,8/19/2014,2014,241,4,Orthoptera,0
40,ME,Bunny,Control,2,8/19/2014,2014,241,4,Orthoptera,0
51,ME,Bunny,Exclosure,1,8/19/2014,2014,241,4,Orthoptera,1
52,ME,Bunny,Exclosure,2,8/19/2014,2014,241,4,Orthoptera,0
170,ME,Asparagus,Control,3,8/19/2014,2014,241,4,Orthoptera,2
175,ME,Asparagus,Exclosure,3,8/19/2014,2014,241,4,Orthoptera,6
178,ME,Bunny,Control,3,8/19/2014,2014,241,4,Orthoptera,3
183,ME,Bunny,Exclosure,3,8/19/2014,2014,241,4,Orthoptera,0
67,NH,Chapman,Control,1,8/20/2014,2014,242,4,Orthoptera,1
68,NH,Chapman,Control,2,8/20/2014,2014,242,4,Orthoptera,3
81,NH,Chapman,Exclosure,2,8/20/2014,2014,242,4,Orthoptera,2
154,ME,Rachel Carson,Control,2,8/20/2014,2014,242,4,Orthoptera,0
156,ME,Rachel Carson,Control,1,8/20/2014,2014,242,4,Orthoptera,0
168,ME,Rachel Carson,Exclosure,1,8/20/2014,2014,242,4,Orthoptera,41
169,ME,Rachel Carson,Exclosure,2,8/20/2014,2014,242,4,Orthoptera,63
187,NH,Chapman,Control,3,8/20/2014,2014,242,4,Orthoptera,17
193,NH,Chapman,Exclosure,3,8/20/2014,2014,242,4,Orthoptera,6
196,ME,Rachel Carson,Exclosure,3,8/20/2014,2014,242,4,Orthoptera,2
199,ME,Rachel Carson,Control,3,8/20/2014,2014,242,4,Orthoptera,0
283,NH,Chapman,Exclosure,1,8/20/2014,2014,242,4,Orthoptera,7
95,NJ,Forsythe,Control,2,8/25/2014,2014,247,4,Orthoptera,0
109,NJ,Forsythe,Exclosure,2,8/25/2014,2014,247,4,Orthoptera,0
202,NJ,Forsythe,Control,3,8/25/2014,2014,247,4,Orthoptera,0
205,NJ,Forsythe,Exclosure,3,8/25/2014,2014,247,4,Orthoptera,0
272,NJ,Forsythe,Exclosure,1,8/25/2014,2014,247,4,Orthoptera,0
25,CT,Barn Island,Control,2,8/26/2014,2014,248,4,Orthoptera,0
32,CT,Barn Island,Exclosure,2,8/26/2014,2014,248,4,Orthoptera,1
136,CT,Hammo,Control,1,8/26/2014,2014,248,4,Orthoptera,0
137,CT,Hammo,Control,2,8/26/2014,2014,248,4,Orthoptera,0
138,CT,Hammo,Exclosure,1,8/26/2014,2014,248,4,Orthoptera,0
139,CT,Hammo,Exclosure,2,8/26/2014,2014,248,4,Orthoptera,0
145,CT,Hammo,Control,3,8/26/2014,2014,248,4,Orthoptera,0
146,CT,Hammo,Exclosure,3,8/26/2014,2014,248,4,Orthoptera,0
209,CT,Barn Island,Control,3,8/26/2014,2014,248,4,Orthoptera,0
211,CT,Barn Island,Exclosure,3,8/26/2014,2014,248,4,Orthoptera,0
263,CT,Barn Island,Control,1,8/26/2014,2014,248,4,Orthoptera,0
185,RI,Sachuest,Control,1,8/27/2014,2014,249,4,Orthoptera,0
186,RI,Sachuest,Control,2,8/27/2014,2014,249,4,Orthoptera,0
200,RI,Sachuest,Exclosure,1,8/27/2014,2014,249,4,Orthoptera,0
201,RI,Sachuest,Exclosure,2,8/27/2014,2014,249,4,Orthoptera,0
214,RI,Sachuest,Control,3,8/27/2014,2014,249,4,Orthoptera,0
216,RI,Sachuest,Exclosure,3,8/27/2014,2014,249,4,Orthoptera,0
310,ME,Bunny,Control,1,5/18/2015,2015,148,1,Orthoptera,0
311,ME,Bunny,Control,2,5/18/2015,2015,148,1,Orthoptera,0
318,ME,Bunny,Control,1,5/18/2015,2015,148,1,Orthoptera,0
319,ME,Bunny,Control,2,5/18/2015,2015,148,1,Orthoptera,0
359,ME,Bunny,Control,3,5/18/2015,2015,148,1,Orthoptera,0
360,ME,Bunny,Control,3,5/18/2015,2015,148,1,Orthoptera,0
322,NH,Chapman,Control,1,5/21/2015,2015,151,1,Orthoptera,0
323,NH,Chapman,Control,2,5/21/2015,2015,151,1,Orthoptera,0
326,NH,Chapman,Control,1,5/21/2015,2015,151,1,Orthoptera,0
327,NH,Chapman,Control,2,5/21/2015,2015,151,1,Orthoptera,0
361,NH,Chapman,Control,3,5/21/2015,2015,151,1,Orthoptera,0
362,NH,Chapman,Control,3,5/21/2015,2015,151,1,Orthoptera,0
342,ME,Rachel Carson,Control,1,5/22/2015,2015,152,1,Orthoptera,0
343,ME,Rachel Carson,Control,2,5/22/2015,2015,152,1,Orthoptera,1
347,ME,Rachel Carson,Control,1,5/22/2015,2015,152,1,Orthoptera,0
348,ME,Rachel Carson,Control,2,5/22/2015,2015,152,1,Orthoptera,0
363,ME,Rachel Carson,Control,3,5/22/2015,2015,152,1,Orthoptera,1
364,ME,Rachel Carson,Control,3,5/22/2015,2015,152,1,Orthoptera,0
289,ME,Asparagus,Control,1,5/27/2015,2015,157,1,Orthoptera,0
290,ME,Asparagus,Control,2,5/27/2015,2015,157,1,Orthoptera,0
296,NH,Asparagus,Control,1,5/27/2015,2015,157,1,Orthoptera,0
297,ME,Asparagus,Control,2,5/27/2015,2015,157,1,Orthoptera,0
365,ME,Asparagus,Control,3,5/27/2015,2015,157,1,Orthoptera,0
366,ME,Asparagus,Control,3,5/27/2015,2015,157,1,Orthoptera,0
336,CT,Hammo,Control,1,6/3/2015,2015,164,1,Orthoptera,0
337,CT,Hammo,Control,2,6/3/2015,2015,164,1,Orthoptera,0
338,CT,Hammo,Control,2,6/3/2015,2015,164,1,Orthoptera,0
367,CT,Hammo,Control,3,6/3/2015,2015,164,1,Orthoptera,0
368,CT,Hammo,Control,3,6/3/2015,2015,164,1,Orthoptera,0
375,CT,Hammo,Control,1,6/3/2015,2015,164,1,Orthoptera,0
369,CT,Barn Island,Control,3,6/4/2015,2015,165,1,Orthoptera,1
370,CT,Barn Island,Control,3,6/4/2015,2015,165,1,Orthoptera,2
376,CT,Barn Island,Control,1,6/4/2015,2015,165,1,Orthoptera,0
377,CT,Barn Island,Control,2,6/4/2015,2015,165,1,Orthoptera,0
378,CT,Barn Island,Control,1,6/4/2015,2015,165,1,Orthoptera,0
379,CT,Barn Island,Control,2,6/4/2015,2015,165,1,Orthoptera,1
351,RI,Sachuest,Control,1,6/5/2015,2015,166,1,Orthoptera,0
352,RI,Sachuest,Control,2,6/5/2015,2015,166,1,Orthoptera,0
355,RI,Sachuest,Control,1,6/5/2015,2015,166,1,Orthoptera,0
356,RI,Sachuest,Control,2,6/5/2015,2015,166,1,Orthoptera,0
371,RI,Sachuest,Control,3,6/5/2015,2015,166,1,Orthoptera,0
372,RI,Sachuest,Control,3,6/5/2015,2015,166,1,Orthoptera,0
329,NJ,Forsythe,Control,1,6/10/2015,2015,171,1,Orthoptera,0
330,NJ,Forsythe,Control,2,6/10/2015,2015,171,1,Orthoptera,12
331,NJ,Forsythe,Control,1,6/10/2015,2015,171,1,Orthoptera,0
332,NJ,Forsythe,Control,2,6/10/2015,2015,171,1,Orthoptera,0
373,NJ,Forsythe,Control,3,6/10/2015,2015,171,1,Orthoptera,0
374,NJ,Forsythe,Control,3,6/10/2015,2015,171,1,Orthoptera,10
53,NH,Chapman,Exclosure,3,6/24/2015,2015,185,2,Orthoptera,12
70,NH,Chapman,Control,1,6/24/2015,2015,185,2,Orthoptera,27
71,NH,Chapman,Control,2,6/24/2015,2015,185,2,Orthoptera,48
83,NH,Chapman,Exclosure,2,6/24/2015,2015,185,2,Orthoptera,50
151,ME,Rachel Carson,Control,1,6/24/2015,2015,185,2,Orthoptera,0
158,ME,Rachel Carson,Control,2,6/24/2015,2015,185,2,Orthoptera,0
171,ME,Rachel Carson,Exclosure,1,6/24/2015,2015,185,2,Orthoptera,28
172,ME,Rachel Carson,Exclosure,2,6/24/2015,2015,185,2,Orthoptera,15
215,NH,Chapman,Exclosure,1,6/24/2015,2015,185,2,Orthoptera,7
217,NH,Chapman,Control,3,6/24/2015,2015,185,2,Orthoptera,14
223,ME,Rachel Carson,Control,3,6/24/2015,2015,185,2,Orthoptera,0
224,ME,Rachel Carson,Exclosure,3,6/24/2015,2015,185,2,Orthoptera,2
7,ME,Asparagus,Control,1,6/25/2015,2015,186,2,Orthoptera,0
8,ME,Asparagus,Control,2,6/25/2015,2015,186,2,Orthoptera,0
18,ME,Asparagus,Exclosure,1,6/25/2015,2015,186,2,Orthoptera,0
19,ME,Asparagus,Exclosure,2,6/25/2015,2015,186,2,Orthoptera,0
41,ME,Bunny,Control,1,6/25/2015,2015,186,2,Orthoptera,2
42,ME,Bunny,Control,2,6/25/2015,2015,186,2,Orthoptera,4
54,ME,Bunny,Exclosure,1,6/25/2015,2015,186,2,Orthoptera,7
55,ME,Bunny,Exclosure,2,6/25/2015,2015,186,2,Orthoptera,4
218,ME,Asparagus,Control,3,6/25/2015,2015,186,2,Orthoptera,0
219,ME,Asparagus,Exclosure,3,6/25/2015,2015,186,2,Orthoptera,0
220,ME,Bunny,Control,3,6/25/2015,2015,186,2,Orthoptera,5
221,ME,Bunny,Exclosure,3,6/25/2015,2015,186,2,Orthoptera,4
179,RI,Sachuest,Control,1,6/29/2015,2015,190,2,Orthoptera,0
188,RI,Sachuest,Control,2,6/29/2015,2015,190,2,Orthoptera,0
203,RI,Sachuest,Exclosure,1,6/29/2015,2015,190,2,Orthoptera,0
204,RI,Sachuest,Exclosure,2,6/29/2015,2015,190,2,Orthoptera,0
222,RI,Sachuest,Exclosure,3,6/29/2015,2015,190,2,Orthoptera,1
225,RI,Sachuest,Control,3,6/29/2015,2015,190,2,Orthoptera,0
226,CT,Barn Island,Exclosure,3,6/29/2015,2015,190,2,Orthoptera,0
227,CT,Barn Island,Control,3,6/29/2015,2015,190,2,Orthoptera,3
248,CT,Barn Island,Exclosure,2,6/29/2015,2015,190,2,Orthoptera,0
254,CT,Barn Island,Exclosure,1,6/29/2015,2015,190,2,Orthoptera,1
256,CT,Barn Island,Control,1,6/29/2015,2015,190,2,Orthoptera,0
257,CT,Barn Island,Control,2,6/29/2015,2015,190,2,Orthoptera,3
98,NJ,Forsythe,Control,1,6/30/2015,2015,191,2,Orthoptera,20
99,NJ,Forsythe,Control,2,6/30/2015,2015,191,2,Orthoptera,8
111,NJ,Forsythe,Exclosure,1,6/30/2015,2015,191,2,Orthoptera,1
112,NJ,Forsythe,Exclosure,2,6/30/2015,2015,191,2,Orthoptera,1
116,CT,Hammo,Control,1,6/30/2015,2015,191,2,Orthoptera,29
142,CT,Hammo,Control,2,6/30/2015,2015,191,2,Orthoptera,66
228,CT,Hammo,Control,3,6/30/2015,2015,191,2,Orthoptera,17
229,CT,Hammo,Exclosure,3,6/30/2015,2015,191,2,Orthoptera,2
230,NJ,Forsythe,Exclosure,3,6/30/2015,2015,191,2,Orthoptera,8
231,NJ,Forsythe,Control,3,6/30/2015,2015,191,2,Orthoptera,5
241,CT,Hammo,Exclosure,1,6/30/2015,2015,191,2,Orthoptera,10
245,CT,Hammo,Exclosure,2,6/30/2015,2015,191,2,Orthoptera,0
72,NH,Chapman,Control,1,7/21/2015,2015,212,3,Orthoptera,0
73,NH,Chapman,Control,2,7/21/2015,2015,212,3,Orthoptera,20
84,NH,Chapman,Exclosure,1,7/21/2015,2015,212,3,Orthoptera,44
85,NH,Chapman,Exclosure,2,7/21/2015,2015,212,3,Orthoptera,1
149,ME,Rachel Carson,Control,1,7/21/2015,2015,212,3,Orthoptera,85
160,ME,Rachel Carson,Control,2,7/21/2015,2015,212,3,Orthoptera,0
173,ME,Rachel Carson,Exclosure,1,7/21/2015,2015,212,3,Orthoptera,27
174,ME,Rachel Carson,Exclosure,2,7/21/2015,2015,212,3,Orthoptera,103
232,NH,Chapman,Control,3,7/21/2015,2015,212,3,Orthoptera,1
233,NH,Chapman,Exclosure,3,7/21/2015,2015,212,3,Orthoptera,22
234,ME,Rachel Carson,Exclosure,3,7/21/2015,2015,212,3,Orthoptera,67
235,ME,Rachel Carson,Control,3,7/21/2015,2015,212,3,Orthoptera,3
9,ME,Asparagus,Control,1,7/22/2015,2015,213,3,Orthoptera,0
10,ME,Asparagus,Control,2,7/22/2015,2015,213,3,Orthoptera,0
20,ME,Asparagus,Exclosure,1,7/22/2015,2015,213,3,Orthoptera,0
21,ME,Asparagus,Exclosure,2,7/22/2015,2015,213,3,Orthoptera,0
43,ME,Bunny,Control,1,7/22/2015,2015,213,3,Orthoptera,14
44,ME,Bunny,Control,2,7/22/2015,2015,213,3,Orthoptera,0
56,ME,Bunny,Exclosure,1,7/22/2015,2015,213,3,Orthoptera,1
57,ME,Bunny,Exclosure,2,7/22/2015,2015,213,3,Orthoptera,0
236,ME,Asparagus,Control,3,7/22/2015,2015,213,3,Orthoptera,0
237,ME,Asparagus,Exclosure,3,7/22/2015,2015,213,3,Orthoptera,2
238,ME,Bunny,Control,3,7/22/2015,2015,213,3,Orthoptera,1
239,ME,Bunny,Exclosure,3,7/22/2015,2015,213,3,Orthoptera,0
189,RI,Sachuest,Control,1,7/28/2015,2015,219,3,Orthoptera,0
190,RI,Sachuest,Control,2,7/28/2015,2015,219,3,Orthoptera,0
206,RI,Sachuest,Exclosure,1,7/28/2015,2015,219,3,Orthoptera,0
207,RI,Sachuest,Exclosure,2,7/28/2015,2015,219,3,Orthoptera,2
240,RI,Sachuest,Exclosure,3,7/28/2015,2015,219,3,Orthoptera,2
242,RI,Sachuest,Control,3,7/28/2015,2015,219,3,Orthoptera,0
243,CT,Barn Island,Control,3,7/28/2015,2015,219,3,Orthoptera,2
244,CT,Barn Island,Exclosure,3,7/28/2015,2015,219,3,Orthoptera,0
249,CT,Barn Island,Control,2,7/28/2015,2015,219,3,Orthoptera,1
250,CT,Barn Island,Exclosure,1,7/28/2015,2015,219,3,Orthoptera,0
258,CT,Barn Island,Exclosure,2,7/28/2015,2015,219,3,Orthoptera,1
100,NJ,Forsythe,Control,1,7/29/2015,2015,220,3,Orthoptera,28
101,NJ,Forsythe,Control,2,7/29/2015,2015,220,3,Orthoptera,75
126,CT,Hammo,Control,1,7/29/2015,2015,220,3,Orthoptera,33
127,CT,Hammo,Control,2,7/29/2015,2015,220,3,Orthoptera,1
143,CT,Hammo,Exclosure,1,7/29/2015,2015,220,3,Orthoptera,26
144,CT,Hammo,Exclosure,2,7/29/2015,2015,220,3,Orthoptera,24
246,CT,Hammo,Exclosure,3,7/29/2015,2015,220,3,Orthoptera,0
247,CT,Hammo,Control,3,7/29/2015,2015,220,3,Orthoptera,1
251,NJ,Forsythe,Control,3,7/29/2015,2015,220,3,Orthoptera,9
252,NJ,Forsythe,Exclosure,3,7/29/2015,2015,220,3,Orthoptera,1
276,NJ,Forsythe,Exclosure,1,7/29/2015,2015,220,3,Orthoptera,78
277,NJ,Forsythe,Exclosure,2,7/29/2015,2015,220,3,Orthoptera,75
26,CT,Barn Island,Control,2,8/24/2015,2015,246,4,Orthoptera,0
27,CT,Barn Island,Control,1,8/24/2015,2015,246,4,Orthoptera,0
33,CT,Barn Island,Exclosure,1,8/24/2015,2015,246,4,Orthoptera,0
34,CT,Barn Island,Exclosure,2,8/24/2015,2015,246,4,Orthoptera,0
191,RI,Sachuest,Control,1,8/24/2015,2015,246,4,Orthoptera,0
192,RI,Sachuest,Control,2,8/24/2015,2015,246,4,Orthoptera,0
208,RI,Sachuest,Exclosure,1,8/24/2015,2015,246,4,Orthoptera,0
210,RI,Sachuest,Exclosure,2,8/24/2015,2015,246,4,Orthoptera,2
253,CT,Barn Island,Control,3,8/24/2015,2015,246,4,Orthoptera,0
260,CT,Barn Island,Exclosure,3,8/24/2015,2015,246,4,Orthoptera,0
261,RI,Sachuest,Control,3,8/24/2015,2015,246,4,Orthoptera,0
265,RI,Sachuest,Exclosure,3,8/24/2015,2015,246,4,Orthoptera,0
161,CT,Hammo,Control,1,8/25/2015,2015,247,4,Orthoptera,2
163,CT,Hammo,Control,2,8/25/2015,2015,247,4,Orthoptera,0
